author,favorite_count,text,in_reply_to_screen_name,created_at,retweet_count,id_str,imagelink
SadiqKhan,1132,"Pleased to announce @TfL will no longer run ads on tubes, trains &amp; buses which could cause body confidence issues. https://t.co/9Jm0pKrbUF",,Mon Jun 13 15:08:54 +0000 2016,602,742373182875828224,NA
LeanneWood,19,Thanks for your good wishes @GradySNP. All the best to you &amp; rest of the @theSNP team from all of us in @Plaid_Cymru https://t.co/IN3KngYtLM,,Thu May 19 08:12:38 +0000 2016,7,733208728976117760,NA
vote_leave,224,"77,000 EU migrants came here without a job, despite promises from PM that they should have a job offer #TakeControl
https://t.co/0yBzrr7iJ8",,Thu May 26 10:02:15 +0000 2016,346,735773031470010368,NA
LeaveEUOfficial,67,"Latest @StrongerIn leaflet cites ""independent experts"".

Three 'facts' from the Treasury, one from EU-funded LSE... https://t.co/7DqCKhPr03",,Fri May 20 11:50:19 +0000 2016,95,733625901162893312,https://pbs.twimg.com/media/Ci5c3oxWkAAl9vZ.jpg
RuthDavidsonMSP,83,Confusing. Labour activists handing this leaflet out at Celtic park at the same time as Kez is on telly backing NP. https://t.co/zbUOwC2M65,,Sun Apr 24 13:40:38 +0000 2016,121,724231578734473216,https://pbs.twimg.com/media/Cgz8xBXWkAAM1HU.jpg
peoplesvote_hq,73,"""A vision that no other continent has managed to achieve"": Gordon Brown on the remarkable achievements of the EU.
https://t.co/yZfwEc77Wu",,Wed May 11 15:28:59 +0000 2016,134,730419440949452801,NA
LeaveEUOfficial,36,https://t.co/g2PcoUygPs,,Tue May 17 23:31:11 +0000 2016,53,732715117817794561,https://pbs.twimg.com/media/CisggyGXIAAdsUw.jpg
peoplesvote_hq,40,"The car industry, employing over 700,000 workers in UK is clear: Britain is #StrongerIn Europe https://t.co/xSK85asvrm",,Thu Apr 21 14:43:31 +0000 2016,87,723160239877591040,https://pbs.twimg.com/media/CgkuYa0W0AA_KkV.jpg
LeanneWood,6,Ymuna ni heddiw / join @Plaid_Cymru today. #Plaid16 https://t.co/OK0WnDKT6g,,Fri Apr 15 05:19:07 +0000 2016,7,720843878752919554,NA
George_Osborne,40,"Mark Carney is clear: growth would be ""materially slower and inflation notably higher"" if we vote to Leave #Marr #StrongerIn",,Sun May 15 10:43:59 +0000 2016,40,731797267657658369,NA
vote_leave,133,Just 10 days to go before we #TakeControl! Sign up to join us here: https://t.co/T4kdGl2e5D #VoteLeave https://t.co/NDSvl08lZ0,,Mon Jun 13 18:31:21 +0000 2016,133,742424132298649600,https://pbs.twimg.com/media/Ck2ez9qWsAIESQc.jpg
vote_leave,29,Tune in to Channel 4 in 5 minutes to see our latest referendum broadcast #50million #VoteLeave #TakeControl https://t.co/iUefOIu6Tk,,Tue May 31 18:50:15 +0000 2016,19,737717848815116288,NA
LeaveEUOfficial,84,"Gove on #Marr: There are hundreds of business people who think we would be better off out, not least because of excessive EU red tape.",,Sun May 08 08:42:11 +0000 2016,75,729229899958001664,NA
LeanneWood,14,".@Plaid_Cymru's manifesto is full of ideas, ambition, substance - a plan to transform a nation in a generation. 

https://t.co/2kIsHjmn5t",,Wed Apr 20 07:25:27 +0000 2016,19,722687607008849920,NA
LeaveEUOfficial,156,"Michael Gove: I prefer to take the advice of business people who are creating wealth and jobs, not the global establishment. #InOrOut",,Fri Jun 03 19:05:33 +0000 2016,120,738808859154862080,NA
peoplesvote_hq,17,More British businesses come out in favour of remain according to new survey (£) https://t.co/CF8ZsKEn0F https://t.co/v5D2aUaySe,,Mon May 09 15:23:02 +0000 2016,27,729693166157344768,https://pbs.twimg.com/media/CiBkDT2UgAAuASY.jpg
LeaveEUOfficial,90,Conservative donor withdraws support over David Cameron's 'irresponsible' EU campaign https://t.co/P4NorrmcMY #LeaveEU,,Mon Jun 13 08:57:01 +0000 2016,139,742279596624773121,NA
LiamFox,44,If the Govt believe this nonsense the whole renegotiation was a sham @hmtreasury #EUref #Brexit #TakeControl https://t.co/sBe2XMlM4D,,Mon Apr 18 08:07:22 +0000 2016,53,721973382179393536,https://pbs.twimg.com/media/CgT29qJWEAEhu7d.jpg
carolannsmilli3,35,Thank you @NicolaSturgeon for your visit to our Rutherglen branch. Great to see your interest in Credit Unions!,,Mon Apr 25 12:04:46 +0000 2016,29,724569840107827200,NA
Nigel_Farage,566,Cameron talks about single market as Heath talked about the common market. It's a smokescreen for political union. #InOrOut,,Thu Jun 02 19:12:45 +0000 2016,480,738448285753544705,NA
RuthDavidsonMSP,16,"A tour de force there, from @Carlaw4Eastwood... I look forward to seeing Derek McKay's stetson and pearl handled revolvers.",,Thu May 19 13:20:06 +0000 2016,4,733286105966125056,NA
David_Cameron,379,"Incredibly passionate speech from Sheila Hancock, on why we’re stronger together than apart #VoteRemain: https://t.co/6Dp4MWS4dx",,Thu Jun 23 09:36:59 +0000 2016,245,745913532038909952,NA
LeaveEUOfficial,162,Always great to see our posters up. Let's make 23rd June our Independence Day! #LeaveEU https://t.co/zMYYgtHMGO,,Thu Jun 09 18:55:05 +0000 2016,96,740980552187138048,https://pbs.twimg.com/media/Ckh94erXAAAvkhT.jpg
Nigel_Farage,3730,"This is it. Vote to Leave tomorrow and help make history. #IndependenceDay
https://t.co/iBYkTpR3aa",,Wed Jun 22 15:50:23 +0000 2016,2945,745645114438017024,NA
LeaveEUOfficial,120,"Theresa May on Andrew Marr: ""We need an effective system of information sharing (on criminals)"" Why? Because we have open borders.",,Sun Apr 24 09:03:39 +0000 2016,111,724161875097837568,NA
peoplesvote_hq,90,"Oh dear. Having lost the argument, now the Leave Campaigners are losing the plot... https://t.co/TQZXKqnV1W",,Mon Apr 18 11:45:54 +0000 2016,151,722028376270225408,https://pbs.twimg.com/media/CgUo-2BWcAASTxA.jpg
LeanneWood,0,@john58wilson More than happy to take that John.,john58wilson,Sat Jun 11 18:13:49 +0000 2016,0,741694944801390592,NA
peoplesvote_hq,33,Mandelson: Why is Brexit camp so obsessed with immigration? Because that’s all they have https://t.co/SiPazcBo5h https://t.co/eEx1P3hPgR,,Tue May 03 14:06:58 +0000 2016,51,727499696344805376,https://pbs.twimg.com/media/ChiZGlBWYAAHzpi.jpg
peoplesvote_hq,44,Nearly 2 hours and no plan from the Leave Campaign? #BBCDebate,,Tue Jun 21 20:43:03 +0000 2016,44,745356379246964738,NA
LeanneWood,39,"After the decades-long battle we've had in Wales over our funding, who trusts Tories to deliver on this promise? https://t.co/A0UVY3HiNr",,Tue Jun 14 07:32:34 +0000 2016,47,742620731595456512,NA
DUPleader,122,Re fanzone spoke to city hall yesterday. It will be sorted. #fans,,Thu Jun 23 09:41:31 +0000 2016,64,745914672554053632,NA
LeaveEUOfficial,16,Tune in to BBC2 now to watch Labour's @KateHoeyMP making the case for #Brexit on the @daily_politics. #LeaveEU,,Wed Apr 20 10:32:37 +0000 2016,20,722734709638344704,NA
DavidDavisMP,9,"(1/5) Earlier this month I travelled to Syria, to witness first-hand the devastation caused by the civil war in the country.",,Wed Apr 27 10:58:34 +0000 2016,4,725277956587794432,NA
RuthDavidsonMSP,60,Tremendous stuff 👏👏👏👊 https://t.co/Ktxlbx4uRu,,Mon Jun 20 20:40:56 +0000 2016,11,744993456834121728,NA
vote_leave,50,"Lord Rose, leader of the IN campaign, said wages would go up after we #VoteLeave. Will Cameron disown this? #bbcqt",,Sun Jun 19 18:25:12 +0000 2016,53,744596911701762048,NA
Nigel_Farage,133,"In my first weekly @Daily_Express referendum diary, I look at damage EU has done to UK business &amp; social cohesion. https://t.co/7FQkG3ldlm",,Wed Apr 27 10:54:15 +0000 2016,128,725276870934171648,NA
George_Osborne,62,Meeting staff @AxminsterUK carpets- 1 of 1200 businesses who today say businesses jobs &amp; investment better off in EU https://t.co/vfVVlQLM9k,,Wed Jun 22 10:53:01 +0000 2016,21,745570280760836097,https://pbs.twimg.com/media/CljMMcHWMAAcLRu.jpg
LeaveEUOfficial,416,Osborne's credibility in tatters as his EU reports branded “dodgy dossiers” by professor of economics #Brexit #EUref https://t.co/mV6lDi9NLx,,Tue Jun 14 11:27:35 +0000 2016,603,742679878416359424,https://pbs.twimg.com/media/Ck6HaVTWgAAEcc0.jpg
peoplesvote_hq,12,"Here's what #Brexit would mean for Britain, according to independent economists. Pls RT. #bbcqt https://t.co/fKII5tWeSz",,Wed Jun 15 18:22:03 +0000 2016,44,743146568128282624,https://pbs.twimg.com/media/ClAv3FbWEAASpog.jpg
vote_leave,158,"Tomorrow's Express front page: ""Proof We Can't Stop Migrants"" #VoteLeave https://t.co/zdmuv3KpF4",,Mon Jun 13 21:01:48 +0000 2016,229,742461996659056640,https://pbs.twimg.com/media/Ck3BP3sWYAAGJSG.jpg
severincarrell,2,"Subtle, @Ruth_E_Davidson: ""I can see another Scottish prime minister,"" she tells @afneil #Holyrood2016",,Sun May 08 10:25:00 +0000 2016,1,729255775466606592,NA
peoplesvote_hq,18,Yet another independent organisation warn that #Brexit will hit UK economy &amp; family finances https://t.co/vWkpsZs2T6 https://t.co/jWir5JRpHh,,Thu May 19 08:01:50 +0000 2016,26,733206013113978880,https://pbs.twimg.com/media/Cize-aCXAAEKLCV.jpg
LeaveEUOfficial,117,"'@LiamFoxMP ""There's a world outside the EU. People work, study and travel outside of the EU."" #BBCDebate",,Thu May 26 19:41:59 +0000 2016,100,735918928657014784,NA
peoplesvote_hq,34,"What does a @UniofOxford expert say about how Britain's place in the world would change if we voted to leave Europe?
https://t.co/GBgGcZ6rqZ",,Mon May 16 08:46:10 +0000 2016,55,732130005669416960,NA
peoplesvote_hq,10,"PM on #marr: leaving Europe would hit our economy, impacting our industries and our public finances. Don't risk it.",,Sun Jun 12 08:37:52 +0000 2016,21,741912389273149441,NA
David_Cameron,166,"#G7 is a group of nations bound together by common values &amp; principles – freedom, democracy, the rule of law &amp; respect for human rights.",,Fri May 27 08:25:05 +0000 2016,84,736110968032268289,NA
peoplesvote_hq,49,"Here are six reasons why voting remain will keep us all stronger, safer and better off. https://t.co/17jwWNYaSS #BBCDebate",,Tue Jun 21 20:41:07 +0000 2016,56,745355891294232576,NA
LeaveEUOfficial,90,"Audience rightly points out dangers of #TTIP, will result in ""corporate management of Europe"" where big business ""will run the show"". #bbcqt",,Thu May 12 22:16:28 +0000 2016,82,730884372900024321,NA
David_Cameron,252,This morning I tackled the myths being put about by leave campaigners on the economy. It's clear we're #StrongerIn: https://t.co/ncZfzzGxMJ,,Tue May 17 21:27:25 +0000 2016,154,732683971151138816,NA
peoplesvote_hq,30,".@Anna_Soubry on the 'Norway' deal proposed by Leave campaigners: ""It will be absolutely the worst of all deals"" https://t.co/CjpV5nTVU5",,Tue Apr 26 12:53:03 +0000 2016,24,724944377525706752,NA
peoplesvote_hq,60,"13 Nobel Prize winning scientists, believe British science must remain #StrongerIn https://t.co/x0jO9ZTD4U https://t.co/IuTytOstAH",,Sat Jun 11 17:06:21 +0000 2016,112,741677965772230656,https://pbs.twimg.com/media/Ckr4ImXWsAEDrzC.jpg
peoplesvote_hq,16,"£250 BILLION in trade at risk every year if we leave Europe, new analysis shows: https://t.co/1mPjf98tzG https://t.co/UlNrOc0k9p",,Tue May 03 18:43:44 +0000 2016,26,727569345845579776,https://pbs.twimg.com/media/ChjYYX8WMAAycfy.jpg
SadiqKhan,17,Number of police officers in London is down under the Tories. Find out by how much here: https://t.co/NkqO0E4p8u,,Fri Apr 29 14:10:49 +0000 2016,29,726051113779109888,NA
andrealeadsom,10,It was an excellent debate!  https://t.co/WuEulX9Bji,,Tue Jun 07 21:35:24 +0000 2016,2,740296122770546688,NA
EmmaWarman,2,Oh look! I'm in this picture! https://t.co/9IDFvoElye,,Mon May 16 21:49:10 +0000 2016,0,732327055350747136,NA
